NOM_ENT,NOM_LOC_ORIGINAL,loc,lon,lat,address
COLIMA,MANZANILLO,"MANZANILLO, MEXICO",-104.3170724,19.0536292,"manzanillo, colima, mexico"
BAJA CALIFORNIA,MARRON,"MARRON, MEXICO",-102.552784,23.634501,mexico
SINALOA,MAZATLAN,"MAZATLAN, MEXICO",-106.4111425,23.2494148,"mazatlan, sinaloa, mexico"
BAJA CALIFORNIA,ENSENADA,"ENSENADA, MEXICO",-116.5963713,31.8667427,"ensenada, baja california, mexico"
BAJA CALIFORNIA,MORRO SANTO DOMINGO,"MORRO SANTO DOMINGO, MEXICO",-114.1239625,28.2550193,"morro santo domingo, baja california, mexico"
BAJA CALIFORNIA,MUELLE,"MUELLE, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,MUELLE FISCAL,"MUELLE FISCAL, MEXICO",-110.3185903,24.1613103,"paseo álvaro obregón 220, malecón, zona central, 23000 la paz, b.c.s., mexico"
BAJA CALIFORNIA,SAN QUINTIN,"SAN QUINTIN, MEXICO",-115.9379302,30.56087669999999,"22940 san quintín, baja california, mexico"
BAJA CALIFORNIA,MUELLE PESCA DEPORTIVA,"MUELLE PESCA DEPORTIVA, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,PIEDRA AHOGADA,"PIEDRA AHOGADA, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,PIEDRA SAN ANTONIO,"PIEDRA SAN ANTONIO, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,SAN RAMON,"SAN RAMON, MEXICO",-102.4567863,20.3543548,"47924 san ramón, jal., mexico"
BAJA CALIFORNIA,SANTA MARIA,"SANTA MARIA, MEXICO",-96.31990809999999,15.8309493,"santa maría huatulco, oax., mexico"
BAJA CALIFORNIA,PUERTO SANTO TOMAS,"PUERTO SANTO TOMAS, MEXICO",-116.408987,31.5540549,"22795 santo tomás, baja california, mexico"
BAJA CALIFORNIA,CANOAS,"CANOAS, MEXICO",-99.9564204,25.2443815,"canoas, n.l., mexico"
BAJA CALIFORNIA,CUCHILLO,"CUCHILLO, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,LIBERTAD,"LIBERTAD, MEXICO",-99.16637310000002,23.7685694,"amp la libertad, 87019 cdad. victoria, tamps., mexico"
BAJA CALIFORNIA,LOS CHOROS,"LOS CHOROS, MEXICO",-93.2901181,15.7804276,"30558 los chorros, chis., mexico"
BAJA CALIFORNIA,PUERTO SALINA,"PUERTO SALINA, MEXICO",-116.8785343,32.0579982,"22765 la salina, b.c., mexico"
BAJA CALIFORNIA,SAN JOSE,"SAN JOSE, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,SANTA CATARINA,"SANTA CATARINA, MEXICO",-100.4423188,25.6746058,"santa catarina, nuevo leon, mexico"
BAJA CALIFORNIA,SANTO TOMAS,"SANTO TOMAS, MEXICO",-109.1974999,28.9744443,"85608 santo tomas, sonora, mexico"
BAJA CALIFORNIA,PUNTA AZUFRE,"PUNTA AZUFRE, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,PUNTA BALLENAS,"PUNTA BALLENAS, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,PUNTA CABRA,"PUNTA CABRA, MEXICO",-116.560935,31.8950171,"punta cabra, popular 1989, 22812 ensenada, b.c., mexico"
BAJA CALIFORNIA,PUNTA CANOAS,"PUNTA CANOAS, MEXICO",-116.918268,32.5099186,"punta de canoas, amp. guaycura, 22214 tijuana, b.c., mexico"
BAJA CALIFORNIA,PUNTA COLONET,"PUNTA COLONET, MEXICO",-116.3335471,30.97046139999999,"22908 punta colonet, baja california, mexico"
BAJA CALIFORNIA,PUNTA CONO,"PUNTA CONO, MEXICO",-114.5840291,28.967482,"punta cono, baja california, mexico"
BAJA CALIFORNIA,PUNTA CUCHILLA,"PUNTA CUCHILLA, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,PUNTA DEL DIABLO,"PUNTA DEL DIABLO, MEXICO",-53.5491787,-34.0461502,"27200 punta del diablo, rocha department, uruguay"
BAJA CALIFORNIA,PUNTA DIABLO,"PUNTA DIABLO, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,PUNTA EL PESCADOR,"PUNTA EL PESCADOR, MEXICO",-113.3839588,28.9357272,"punta el pescador, 22980 baja california, mexico"
BAJA CALIFORNIA,PUNTA FINAL,"PUNTA FINAL, MEXICO",-114.2779471,29.7691922,"21856 punta final, b.c., mexico"
BAJA CALIFORNIA,PUNTA LA GRINGA,"PUNTA LA GRINGA, MEXICO",-113.5367489,29.0317388,"punta la gringa, bahia de los angeles, 22985 baja california, mexico"
BAJA CALIFORNIA,PUNTA MARIA,"PUNTA MARIA, MEXICO",-114.5313175,28.9210586,"punta maria, 22973 b.c., mexico"
BAJA CALIFORNIA,PUNTA MARRON,"PUNTA MARRON, MEXICO",-102.552784,23.634501,mexico
BAJA CALIFORNIA,PUNTA REFUGIO (I. ANGEL DE LA GUARDA),"PUNTA REFUGIO (I. ANGEL DE LA GUARDA), MEXICO",-113.5156392,29.5500124,"punta refugio, baja california, mexico"
BAJA CALIFORNIA,PUNTA ROSARITO,"PUNTA ROSARITO, MEXICO",-114.1389209,28.574953,"punta rosarito, 22995 baja california, mexico"
BAJA CALIFORNIA,PUNTA SAN JACINTO,"PUNTA SAN JACINTO, MEXICO",-116.168602,30.8612484,"punta san jacinto, 22915 baja california, mexico"
BAJA CALIFORNIA,PUNTA SAN JASINTO,"PUNTA SAN JASINTO, MEXICO",-116.168602,30.8612484,"punta san jacinto, 22915 baja california, mexico"
BAJA CALIFORNIA,PUNTA SAN JOSE,"PUNTA SAN JOSE, MEXICO",-116.6135546,31.8729545,"punta san jose, méxico, 22830 ensenada, b.c., mexico"
